"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
0,22/05/2016,1st Round,Hsieh S.W.,Arruabarrena L.,80,92.0,817,738.0,2.0,0.0,2.75,1.4,2.65,1.42,2.75,1.44,2.88,1.48,1.06,8.94,2.88,1.53,2.68,1.46,2,1.0,1.0,0,0,0,0,4,1,1,1
1,22/05/2016,1st Round,Kvitova P.,Kovinic D.,12,59.0,2878,1035.0,2.0,1.0,1.22,4.0,1.2,4.0,1.25,3.75,1.27,4.22,1.5,2.57,1.27,4.33,1.24,4.0,3,1.0,1.0,1,1,1,1,6,2,1,1
2,22/05/2016,1st Round,Golubic V.,Riske A.,130,93.0,471,737.0,2.0,1.0,2.2,1.61,1.95,1.72,2.2,1.67,2.24,1.73,1.38,2.99,2.24,1.79,2.15,1.68,3,0.0,0.0,0,0,0,0,1,1,0,0
3,22/05/2016,1st Round,Pavlyuchenkova A.,Sorribes Tormo S.,27,190.0,1840,278.0,2.0,0.0,1.53,2.37,1.5,2.4,1.53,2.5,1.59,2.53,1.61,2.27,1.62,2.67,1.53,2.46,2,1.0,1.0,1,1,1,1,5,1,1,1
4,22/05/2016,1st Round,Safarova L.,Diatchenko V.,13,225.0,2843,228.0,2.0,0.0,1.1,7.0,1.12,5.0,1.1,7.0,1.11,8.36,1.04,11.01,1.13,8.5,1.1,7.12,2,1.0,1.0,1,1,1,1,2,0,1,1
5,23/05/2016,1st Round,Georges M.,Mchale C.,203,67.0,254,960.0,2.0,1.0,6.5,1.11,5.0,1.12,6.5,1.11,6.58,1.15,1.01,21.57,6.58,1.14,5.98,1.12,3,0.0,0.0,0,0,0,0,1,1,0,0
6,23/05/2016,1st Round,Stephens S.,Gasparyan M.,22,55.0,2260,1082.0,2.0,0.0,1.2,4.33,1.25,3.5,1.25,4.0,1.24,4.6,2.14,1.69,1.25,4.33,1.22,4.14,2,1.0,1.0,1,1,1,1,6,0,1,1
7,23/05/2016,1st Round,Hercog P.,Dominguez Lino L.,94,112.0,730,594.0,2.0,0.0,1.5,2.5,1.5,2.4,1.53,2.5,1.54,2.66,2.61,1.48,1.54,2.67,1.51,2.55,2,1.0,1.0,1,1,1,1,4,0,1,1
8,23/05/2016,1st Round,Osaka N.,Ostapenko J.,101,36.0,659,1365.0,2.0,0.0,3.0,1.36,3.0,1.33,3.0,1.4,3.31,1.38,1.13,5.83,3.4,1.4,3.1,1.35,2,0.0,0.0,0,0,0,0,4,3,1,1
9,23/05/2016,1st Round,Muguruza G.,Schmiedlova A.,4,38.0,5196,1340.0,2.0,1.0,1.06,10.0,1.04,8.5,1.06,9.0,1.07,11.51,1.49,2.59,1.08,11.51,1.06,9.18,3,1.0,1.0,1,1,1,1,5,2,1,1
