Players,1R_L,2R_L,3R_L,4R_L,QF_L,SF_L,F_L
Hsieh S.W.,2.0,3.0,1.0,0.0,0.0,0.0,0.0
Kvitova P.,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Golubic V.,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Pavlyuchenkova A.,1.0,3.0,1.0,0.0,0.0,0.0,1.0
Safarova L.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Georges M.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Stephens S.,0.0,1.0,1.0,1.0,2.0,0.0,1.0
Hercog P.,1.0,2.0,2.0,0.0,0.0,0.0,0.0
Osaka N.,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Muguruza G.,2.0,0.0,1.0,2.0,0.0,1.0,0.0
Cepede Royg V.,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Strycova B.,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Lucic-Baroni M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Buyukakcay C.,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Rogers S.,2.0,1.0,2.0,0.0,1.0,0.0,0.0
Wickmayer Y.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Kuznetsova S.,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Pironkova T.,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Halep S.,0.0,1.0,0.0,2.0,1.0,0.0,1.0
Vesnina E.,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Beck A.,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Garcia C.,0.0,4.0,0.0,2.0,1.0,0.0,0.0
Watson H.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Radwanska A.,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Larsson J.,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Diyas Z.,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Bondarenko K.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Begu I.,2.0,1.0,2.0,2.0,0.0,0.0,0.0
Vandeweghe C.,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Suarez Navarro C.,1.0,1.0,1.0,2.0,0.0,0.0,0.0
Cornet A.,2.0,2.0,2.0,1.0,0.0,0.0,0.0
Bertens K.,1.0,2.0,1.0,1.0,0.0,1.0,0.0
Konjuh A.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Mladenovic K.,3.0,2.0,1.0,0.0,1.0,0.0,0.0
Wang Q.,2.0,3.0,1.0,0.0,0.0,0.0,0.0
Babos T.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Maria T.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Bouchard E.,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Cibulkova D.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Stosur S.,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Bacsinszky T.,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Zhang S.,2.0,3.0,1.0,1.0,0.0,0.0,0.0
Chirico L.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Giorgi C.,2.0,2.0,1.0,1.0,0.0,0.0,0.0
Makarova E.,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Kasatkina D.,0.0,2.0,3.0,0.0,1.0,1.0,0.0
Ivanovic A.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Williams V.,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Razzano V.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Keys M.,1.0,1.0,1.0,2.0,1.0,1.0,0.0
Duque-Marino M.,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Sevastova A.,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Knapp K.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nara K.,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Townsend T.,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Petkovic A.,3.0,2.0,2.0,0.0,0.0,0.0,0.0
Puig M.,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Goerges J.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Pereira T.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Putintseva Y.,2.0,2.0,1.0,0.0,2.0,0.0,0.0
Svitolina E.,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Falconi I.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Williams S.,0.0,1.0,1.0,2.0,0.0,0.0,1.0
Parmentier P.,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Brengle M.,4.0,3.0,0.0,0.0,0.0,0.0,0.0
Ostapenko J.,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Tsurenko L.,2.0,0.0,2.0,1.0,0.0,0.0,0.0
Mattek-Sands B.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sasnovich A.,2.0,4.0,0.0,1.0,0.0,0.0,0.0
Dodin O.,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Jabeur O.,2.0,0.0,1.0,2.0,0.0,0.0,0.0
Hogenkamp R.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kontaveit A.,4.0,1.0,1.0,1.0,0.0,0.0,0.0
Wozniacki C.,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Bellis C.,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mertens E.,0.0,0.0,4.0,2.0,0.0,0.0,0.0
Abanda F.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alexandrova E.,1.0,3.0,2.0,0.0,0.0,0.0,0.0
Errani S.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Pliskova Ka.,1.0,3.0,2.0,0.0,0.0,1.0,0.0
Linette M.,3.0,2.0,2.0,0.0,0.0,0.0,0.0
Flipkens K.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Lepchenko V.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Witthoeft C.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Rybarikova M.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Cirstea S.,3.0,3.0,0.0,1.0,0.0,0.0,0.0
Martic P.,2.0,1.0,1.0,1.0,1.0,0.0,0.0
Van Uytvanck A.,2.0,4.0,0.0,0.0,0.0,0.0,0.0
Vondrousova M.,2.0,1.0,0.0,1.0,0.0,0.0,1.0
Paquet C.,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Brady J.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Kuzmova V.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Kozlova K.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Frech M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arruabarrena L.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Dolehide C.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sakkari M.,1.0,2.0,2.0,0.0,0.0,1.0,0.0
Siniakova K.,2.0,1.0,3.0,1.0,0.0,0.0,0.0
Peterson R.,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Buzarnescu M.,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Dulgheru A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Garcia Perez G.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bencic B.,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Vekic D.,4.0,2.0,0.0,1.0,0.0,0.0,0.0
Pera B.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Ferro F.,3.0,2.0,0.0,1.0,0.0,0.0,0.0
Gavrilova D.,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Sharapova M.,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Barty A.,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Peng S.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kerber A.,5.0,0.0,1.0,0.0,1.0,0.0,0.0
Bogdan A.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Potapova A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kucova K.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Siegemund L.,3.0,1.0,0.0,0.0,1.0,0.0,0.0
Sorribes Tormo S.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Kanepi K.,2.0,1.0,1.0,1.0,0.0,0.0,0.0
