Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
Hsieh S.W.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Kvitova P.,6.0,3.0,1.0,1.0,1.0,0.0,0.0
Golubic V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavlyuchenkova A.,5.0,2.0,1.0,1.0,1.0,1.0,0.0
Safarova L.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Georges M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephens S.,6.0,5.0,4.0,3.0,1.0,1.0,0.0
Hercog P.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Osaka N.,4.0,3.0,0.0,0.0,0.0,0.0,0.0
Muguruza G.,5.0,5.0,4.0,2.0,2.0,1.0,1.0
Cepede Royg V.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Strycova B.,4.0,2.0,1.0,0.0,0.0,0.0,0.0
Lucic-Baroni M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Buyukakcay C.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rogers S.,4.0,3.0,1.0,1.0,0.0,0.0,0.0
Wickmayer Y.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kuznetsova S.,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Pironkova T.,3.0,2.0,1.0,1.0,0.0,0.0,0.0
Halep S.,6.0,5.0,5.0,3.0,2.0,2.0,1.0
Vesnina E.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Beck A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Garcia C.,7.0,3.0,3.0,1.0,0.0,0.0,0.0
Watson H.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Radwanska A.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Larsson J.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Diyas Z.,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Bondarenko K.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Begu I.,5.0,4.0,2.0,0.0,0.0,0.0,0.0
Vandeweghe C.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Suarez Navarro C.,4.0,3.0,2.0,0.0,0.0,0.0,0.0
Cornet A.,5.0,3.0,1.0,0.0,0.0,0.0,0.0
Bertens K.,5.0,3.0,2.0,1.0,1.0,0.0,0.0
Konjuh A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mladenovic K.,4.0,2.0,1.0,1.0,0.0,0.0,0.0
Wang Q.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Babos T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria T.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouchard E.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Cibulkova D.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Stosur S.,4.0,3.0,2.0,1.0,1.0,0.0,0.0
Bacsinszky T.,2.0,2.0,2.0,2.0,1.0,0.0,0.0
Zhang S.,5.0,2.0,1.0,0.0,0.0,0.0,0.0
Chirico L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgi C.,4.0,2.0,1.0,0.0,0.0,0.0,0.0
Makarova E.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasatkina D.,7.0,5.0,2.0,2.0,1.0,0.0,0.0
Ivanovic A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Williams V.,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Razzano V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keys M.,6.0,5.0,4.0,2.0,1.0,0.0,0.0
Duque-Marino M.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Sevastova A.,3.0,2.0,1.0,0.0,0.0,0.0,0.0
Knapp K.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nara K.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Townsend T.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Petkovic A.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Puig M.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Goerges J.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Pereira T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Putintseva Y.,5.0,3.0,2.0,2.0,0.0,0.0,0.0
Svitolina E.,6.0,6.0,3.0,2.0,0.0,0.0,0.0
Falconi I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Williams S.,5.0,4.0,3.0,1.0,1.0,1.0,0.0
Parmentier P.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Brengle M.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ostapenko J.,3.0,2.0,1.0,1.0,1.0,1.0,1.0
Tsurenko L.,3.0,3.0,1.0,0.0,0.0,0.0,0.0
Mattek-Sands B.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
