,Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
0,Kyrgios N.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Paire B.,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2,Sijsling I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Gabashvili T.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Kuznetsov An.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Wawrinka S.,4.0,4.0,3.0,3.0,2.0,1.0,0.0
6,Pavlasek A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Chardy J.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Troicki V.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
9,Daniel T.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Mannarino A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Lajovic D.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
12,Raonic M.,2.0,2.0,2.0,0.0,0.0,0.0,0.0
13,Dodig I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Brown D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Karlovic I.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Thompson J.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
17,Pella G.,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Sock J.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
19,Simon G.,4.0,3.0,0.0,0.0,0.0,0.0,0.0
20,Verdasco F.,4.0,3.0,2.0,0.0,0.0,0.0,0.0
21,Nishikori K.,6.0,5.0,5.0,2.0,0.0,0.0,0.0
22,Bourgue M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Trungelliti M.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Ramos-Vinolas A.,5.0,3.0,2.0,1.0,0.0,0.0,0.0
25,Edmund K.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
