ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerB,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Goffin D.,Hurkacz H.,113,13,570,2525,3.00,1.40
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Khachanov K.,Lestienne C.,11,69,2945,769,1.025,17.00
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,Griekspoor T.,135,39,448,1034,1.72,2.10
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ofner S.,Cressy M.,118,42,534,975,1.36,3.20
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kypson P.,Albot R.,323,111,154,564,3.20,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Isner J.,Borges N.,89,76,675,727,3.00,1.40
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Vesely J.,Tsitsipas S.,452,5,92,4775,19.00,01.02
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kubler J.,Diaz Acosta F.,68,137,777,441,2.30,1.61
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kokkinakis T. ,Evans D.,107,24,587,1480,2.00,1.80
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Fucsovics M.,Grenier H.,80,122,720,518,1.20,4.50
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mcdonald M.,Korda S.,56,29,845,1265,2.62,1.50
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Arnaldi M.,Galan D.E.,105,90,592,671,1.50,2.62
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Shelton B.,Sonego L.,35,45,1095,925,3.00,1.40
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Carballes Baena R.,Nava E.,58,238,850,238,1.25,4.00
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cazaux A.,Moutet C.,193,61,321,823,2.00,1.80
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Djere L.,Rublev A.,57,7,845,4270,4.33,1.22
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pouille L.,Rodionov J.,675,134,40,452,4.33,1.22
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Musetti L.,Ymer M.,18,53,2040,876,1.20,4.50
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Shevchenko A.,Otte O.,84,120,703,521,1.40,3.00
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mannarino A,Humbert U.,47,38,937,1026,4.33,1.22
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Kovacevic A.,3,114,5955,545,1.006,29.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ruusuvuori E.,Barrere G.,43,55,956,850,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Halys Q.,Pella G.,87,421,686,105,1.33,3.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,R. GASQUET,Arthur Rinderknech,50,78,901,735,1.66,2.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhang Z.,Lajovic D.,70,51,752,899,2.50,1.53
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Nakashima B.,Shapovalov D.,52,31,957,1210,1.80,2.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mmoh M.,Fritz T.,123,9,517,3470,19.00,01.02
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Gaston H.,Molcan A.,108,83,580,705,2.62,1.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Paul T.,Stricker D.,17,116,2170,541,1.33,3.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Vavassori A.,Kecmanovic M.,148,36,410,1065,3.20,1.36
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Popyrin A.,Karatsev A.,82,62,707,818,2.30,1.61
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Juncheng S.,Varillas J.P. ,200,97,303,661,2.62,1.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Alcaraz C., Cobolli F.,1,159,6815,378,01.02,19.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cerundolo F. ,Munar J.,28,77,1485,725,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Jarry N. ,Dellien H.,54,160,1112,375,1.25,4.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Huesler M. ,72,81,733,719,1.40,3.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Ramos-Vinolas A.,88,66,684,782,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Lehecka J.,Struff J.L. ,40,26,994,1447,2.37,1.57
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Van Assche L.,Cecchinato M.,79,73,725,742,1.80,2.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bautista Agut R. ,Yibing W.,23,59,1485,884,1.40,3.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G. ,Baez S.,386,44,117,990,5.00,1.16
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ymer E.,Ruud C.,155,4,384,4960,10.00,1.062
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mpetshi Perricard G.,Olivieri G. ,233,227,245,257,2.20,1.66
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Seyboth Wild T.,Medvedev D. ,172,2,349,6330,11.00,01.05
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Van de Zandschulp B.,Tirante T.,30,153,1215,390,1.20,4.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Purcell M. ,Thompson J. ,67,71,781,737,2.10,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rune H.,Eubanks C.,6,75,4375,740,01.02,19.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ivashka I.,de Minaur A.,86,19,741,1870,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Paire B. ,Norrie C.,149,14,398,2565,5.50,1.14
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Nishioka Y. ,Wolf J.J. ,32,49,1181,915,2.00,1.80
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zapata Miralles B.,Schwartzman D.,37,93,1051,660,1.61,2.30
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,O'Connell C.,Daniel T.,85,110,737,566,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sinner J.,Muller A.,8,100,3435,639,01.03,15.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Krajinovic F.,Tiafoe F. ,92,12,661,2790,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Monteiro T.,Bonzi B.,96,65,652,783,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Draper J.,Martin Etcheverry T.,60,46,877,920,2.10,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Coric B.,Coria F.,16,94,2410,656,1.12,6.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Thiem D.,Cachin P.,91,63,666,803,1.80,2.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Fils A.,Fokina D.,112,34,807,1115,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Auger Aliassime F.,Fognini F.,10,130,3100,1505,1.30,3.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Harris L.,27,306,1450,177,01.05,11.00
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Medjedovic H.,Giron M.,168,74,353,740,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Skatov T.,Dimitrov G.,147,33,412,1275,9.00,1.071
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bublik A.,Zeppieri G.,48,129,915,478,2.20,1.66
