ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerA_id,PlayerB,PlayerB_id,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Goffin D.,30,Hurkacz H.,280,113,13,570,2525,3.0,1.4
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Khachanov K.,210,Lestienne C.,0,11,69,2945,769,1.025,17.0
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,195,Griekspoor T.,91,135,39,448,1034,1.72,2.1
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ofner S.,138,Cressy M.,287,118,42,534,975,1.36,3.2
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kypson P.,0,Albot R.,150,323,111,154,564,3.2,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Isner J.,57,Borges N.,205,89,76,675,727,3.0,1.4
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Vesely J.,4,Tsitsipas S.,251,452,5,92,4775,19.0,1.02
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kubler J.,81,Diaz Acosta F.,0,68,137,777,441,2.3,1.61
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kokkinakis T. ,0,Evans D.,208,107,24,587,1480,2.0,1.8
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Fucsovics M.,200,Grenier H.,0,80,122,720,518,1.2,4.5
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mcdonald M.,65,Korda S.,88,56,29,845,1265,2.62,1.5
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Arnaldi M.,0,Galan D.E.,80,105,90,592,671,1.5,2.62
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Shelton B.,0,Sonego L.,156,35,45,1095,925,3.0,1.4
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Carballes Baena R.,37,Nava E.,0,58,238,850,238,1.25,4.0
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cazaux A.,230,Moutet C.,233,193,61,321,823,2.0,1.8
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Djere L.,196,Rublev A.,270,57,7,845,4270,4.33,1.22
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pouille L.,136,Rodionov J.,75,675,134,40,452,4.33,1.22
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Musetti L.,234,Ymer M.,54,18,53,2040,876,1.2,4.5
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Shevchenko A.,0,Otte O.,207,84,120,703,521,1.4,3.0
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mannarino A,0,Humbert U.,135,47,38,937,1026,4.33,1.22
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,229,Kovacevic A.,0,3,114,5955,545,1.006,29.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ruusuvuori E.,113,Barrere G.,26,43,55,956,850,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Halys Q.,38,Pella G.,217,87,421,686,105,1.33,3.4
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,R. GASQUET,0,Arthur Rinderknech,0,50,78,901,735,1.66,2.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhang Z.,0,Lajovic D.,19,70,51,752,899,2.5,1.53
