"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"26/05/13","1st Round","Kavcic B.","Duckworth J.",104,185,529,273,6,2,6,2,6,2,NA,NA,NA,NA,3,0,1.57,2.25,1.65,2.39,1.7,2.4,1.62,2.26
32,"26/05/13","1st Round","Anderson K.","Marchenko I.",25,120,1420,447,6,3,7,5,6,4,NA,NA,NA,NA,3,0,1.05,11,1.06,12.5,1.08,12.5,1.05,9.71
32,"26/05/13","1st Round","Sousa J.","Soeda G.",119,124,447,435,6,1,6,3,6,2,NA,NA,NA,NA,3,0,1.18,4.5,1.22,4.85,1.27,4.95,1.23,4.09
32,"26/05/13","1st Round","Raonic M.","Malisse X.",16,56,2225,805,6,2,6,1,4,6,6,4,NA,NA,3,1,1.07,9,1.06,12.5,1.1,12.5,1.08,8.14
32,"26/05/13","1st Round","Simon G.","Hewitt L.",18,86,1895,610,3,6,1,6,6,4,6,1,7,5,3,2,1.12,6,1.15,6.45,1.18,7.5,1.14,5.46
32,"26/05/13","1st Round","Bautista R.","Muller G.",68,84,714,623,6,3,6,4,6,2,NA,NA,NA,NA,3,0,1.22,4,1.27,4.18,1.27,4.5,1.23,4.12
32,"26/05/13","1st Round","Seppi A.","Mayer L.",22,73,1530,682,6,7,6,4,6,3,6,7,6,4,3,2,1.2,4.33,1.26,4.3,1.26,5,1.21,4.4
32,"26/05/13","1st Round","Federer R.","Carreno-Busta P.",3,164,8000,316,6,2,6,2,6,3,NA,NA,NA,NA,3,0,1.03,15,1.04,15.5,1.05,19,1.03,11.94
32,"26/05/13","1st Round","Querrey S.","Lacko L.",20,77,1730,667,6,3,6,4,6,4,NA,NA,NA,NA,3,0,1.2,4.33,1.22,4.85,1.25,4.85,1.22,4.18
32,"26/05/13","1st Round","Hajek J.","Kudla D.",87,116,605,466,6,2,5,7,6,0,6,4,NA,NA,3,1,1.4,2.75,1.43,3.05,1.53,3.05,1.45,2.7
32,"26/05/13","1st Round","Devvarman S.","Munoz-De La Nava D.",188,145,269,367,6,3,6,3,7,5,NA,NA,NA,NA,3,0,2.1,1.66,2.14,1.79,2.26,1.79,2.13,1.69
32,"26/05/13","1st Round","Chardy J.","Becker B.",27,97,1371,568,6,4,6,2,7,5,NA,NA,NA,NA,3,0,1.04,13,1.04,15,1.09,16,1.05,10.44
32,"26/05/13","1st Round","Ferrer D.","Matosevic M.",5,63,6740,761,6,4,6,3,6,4,NA,NA,NA,NA,3,0,1.01,26,1.01,27.22,1.03,27.22,1.02,16.52
32,"26/05/13","1st Round","Llodra M.","Darcis S.",55,112,814,492,6,4,4,6,6,1,6,4,NA,NA,3,1,1.8,1.9,1.74,2.23,1.91,2.23,1.76,2.03
32,"26/05/13","1st Round","Troicki V.","Blake J.",57,96,800,571,6,4,6,2,6,2,NA,NA,NA,NA,3,0,1.2,4.33,1.23,4.77,1.35,4.77,1.23,4.06
32,"27/05/13","1st Round","Kamke T.","Lorenzi P.",72,70,686,701,6,3,6,3,3,6,0,6,6,3,3,2,1.44,2.62,1.52,2.74,1.67,3.1,1.51,2.53
32,"27/05/13","1st Round","Nishikori K.","Levine J.",15,90,2315,588,6,3,6,2,6,0,NA,NA,NA,NA,3,0,1.07,9,1.07,10.75,1.1,10.75,1.07,8.21
32,"27/05/13","1st Round","Cuevas P.","Mannarino A.",762,110,21,502,6,3,2,6,6,3,5,7,7,5,3,2,2,1.72,2.03,1.87,2.2,1.9,2.05,1.74
32,"27/05/13","1st Round","Kyrgios N.","Stepanek R.",262,52,175,840,7,6,7,6,7,6,NA,NA,NA,NA,3,0,6.5,1.11,7.07,1.13,7.1,1.17,5.91,1.13
32,"27/05/13","1st Round","Donskoy E.","Struff J.L.",82,117,639,461,7,6,2,6,7,6,6,2,NA,NA,3,1,2.62,1.44,2.59,1.56,2.9,1.57,2.54,1.51
32,"27/05/13","1st Round","Roger-Vasselin E.","Alund M.",65,100,736,556,6,2,4,6,6,1,6,0,NA,NA,3,1,1.28,3.5,1.29,4,1.37,4,1.29,3.52
32,"27/05/13","1st Round","Sijsling I.","Melzer J.",62,37,762,1085,6,4,6,3,6,2,NA,NA,NA,NA,3,0,1.66,2.1,1.75,2.21,1.8,2.22,1.72,2.08
32,"27/05/13","1st Round","Robredo T.","Zopp J.",34,166,1095,315,6,3,6,2,6,1,NA,NA,NA,NA,3,0,1.04,13,1.04,14.5,1.06,16,1.04,10.99
32,"27/05/13","1st Round","Tsonga J.W.","Bedene A.",8,80,3795,643,6,2,6,2,6,3,NA,NA,NA,NA,3,0,1.05,11,1.08,9.65,1.08,14,1.06,8.95
32,"27/05/13","1st Round","Benneteau J.","Berankis R.",32,67,1200,718,7,6,6,3,5,7,7,6,NA,NA,3,1,1.28,3.5,1.36,3.44,1.36,4.33,1.29,3.51
32,"27/05/13","1st Round","Zemlja G.","Giraldo S.",50,78,857,650,6,1,6,4,6,1,NA,NA,NA,NA,3,0,3,1.36,3.05,1.43,3.1,1.53,2.8,1.42
32,"27/05/13","1st Round","Lopez F.","Granollers M.",43,33,930,1145,7,5,2,6,6,4,4,6,6,4,3,2,3,1.36,3.22,1.4,3.25,1.45,2.94,1.39
32,"27/05/13","1st Round","Nadal R.","Brands D.",4,59,6895,795,4,6,7,6,6,4,6,3,NA,NA,3,1,1.002,29,1.01,81,1.01,81,1.01,32.16
32,"27/05/13","1st Round","Almagro N.","Haider-Maurer A.",13,105,2375,518,4,6,6,4,6,3,6,3,NA,NA,3,1,1.05,11,1.06,12.25,1.08,17,1.04,10.8
32,"27/05/13","1st Round","Cilic M.","Petzschner P.",11,102,2570,550,6,1,6,2,6,3,NA,NA,NA,NA,3,0,1.05,11,1.07,11.25,1.1,13,1.06,8.95
32,"27/05/13","1st Round","Harrison R.","Kuznetsov An.",92,75,579,676,6,3,6,4,7,6,NA,NA,NA,NA,3,0,2.75,1.4,2.84,1.49,2.95,1.53,2.75,1.44
32,"27/05/13","1st Round","Klizan M.","Russell M.",35,99,1090,563,3,6,6,3,6,1,NA,NA,NA,NA,2,1,1.12,6,1.16,6.16,1.22,6.16,1.17,5
32,"27/05/13","1st Round","Rosol L.","Riba P.",36,479,1086,70,6,3,6,4,6,4,NA,NA,NA,NA,3,0,1.36,3,1.39,3.27,1.4,3.35,1.36,3.09
32,"27/05/13","1st Round","Fognini F.","Beck A.",29,62,1345,980,6,3,7,5,6,3,NA,NA,NA,NA,3,0,1.14,5.5,1.17,5.8,1.19,6.3,1.15,5.4
32,"27/05/13","1st Round","Gimeno-Traver D.","Monaco J.",49,17,857,1910,4,6,4,6,7,6,6,4,6,4,3,2,7,1.1,7.04,1.13,7.3,1.19,5.72,1.14
32,"27/05/13","1st Round","Nieminen J.","Mathieu P.H.",38,69,1075,708,6,4,4,6,7,6,4,6,6,2,3,2,1.5,2.5,1.59,2.52,1.6,2.8,1.5,2.56
32,"27/05/13","1st Round","Gulbis E.","Dutra Silva R.",40,94,991,575,6,1,7,6,6,3,NA,NA,NA,NA,3,0,1.06,10,1.07,10.25,1.09,11,1.07,8.66
32,"27/05/13","1st Round","Gasquet R.","Stakhovsky S.",9,101,3090,555,6,1,6,4,6,3,NA,NA,NA,NA,3,0,1.05,11,1.11,8.36,1.11,14,1.05,9.97
32,"27/05/13","1st Round","Haase R.","De Schepper K.",66,91,727,584,6,4,7,6,2,6,6,3,NA,NA,3,1,1.28,3.5,1.32,3.74,1.35,3.74,1.31,3.43
32,"27/05/13","1st Round","Monfils G.","Berdych T.",81,6,640,4685,7,6,6,4,6,7,6,7,7,5,3,2,4.5,1.18,4.26,1.27,5.5,1.27,4.18,1.23
32,"27/05/13","1st Round","Isner J.","Berlocq C.",21,71,1690,690,6,3,6,4,6,4,NA,NA,NA,NA,3,0,2.1,1.66,2.4,1.65,2.4,1.83,2.1,1.71
32,"27/05/13","1st Round","Montanes A.","Johnson S.",47,130,880,423,6,4,3,6,6,3,3,6,6,1,3,2,1.16,5,1.18,5.65,1.25,5.9,1.18,4.69
32,"27/05/13","1st Round","Przysiezny M.","Williams R.",133,121,410,443,6,3,6,7,7,5,7,5,NA,NA,3,1,1.72,2,1.92,1.99,1.95,2.1,1.79,1.98
32,"27/05/13","1st Round","Janowicz J.","Ramos A.",23,64,1524,750,7,6,7,5,6,3,NA,NA,NA,NA,3,0,1.66,2.1,1.69,2.29,1.8,2.34,1.7,2.11
32,"28/05/13","1st Round","Dimitrov G.","Falla A.",28,74,1355,676,6,4,1,0,NA,NA,NA,NA,NA,NA,1,0,1.07,9,1.09,9.16,1.13,9.4,1.09,7.39
32,"28/05/13","1st Round","Hanescu V.","Tomic B.",54,61,815,775,7,5,7,6,2,1,NA,NA,NA,NA,2,0,1.4,2.75,1.51,2.75,1.51,3.15,1.42,2.79
32,"28/05/13","1st Round","Youzhny M.","Andujar P.",31,45,1265,905,4,6,6,4,6,2,6,3,NA,NA,3,1,1.8,1.9,1.88,2.02,2,2.02,1.86,1.9
32,"28/05/13","1st Round","Delbonis F.","Reister J.",125,150,435,346,6,7,6,1,6,0,6,4,NA,NA,3,1,2.5,1.5,2.48,1.61,2.6,1.62,2.44,1.54
32,"28/05/13","1st Round","Tursunov D.","Dolgopolov O.",60,24,794,1500,7,6,6,4,7,6,NA,NA,NA,NA,3,0,4.5,1.18,4.99,1.21,4.99,1.24,4.36,1.21
32,"28/05/13","1st Round","Pouille L.","Kuznetsov Al.",324,171,131,300,6,1,7,6,6,2,NA,NA,NA,NA,3,0,2.5,1.5,2.59,1.56,2.62,1.59,2.44,1.54
